COD_BAIRRO,N_BAIRRO,PERIMETER,AREA,HECTARES,X,Y,DENSIDADE
"18",COSTA E SILVA,5874.58281187000,999339.83290100005,99.93398329010,290608.03197000001,9206004.55382999964,
"23",ERNANI SATIRO,4826.55933419000,1293980.89574000007,129.39808957400,291186.62845600001,9206987.41699000075,
"22",DISTRITO INDUSTRIAL,12773.15862380000,7827100.52202999964,782.71005220300,289189.22231300001,9204988.70658000000,
"08",BAIRRO DAS INDUSTRIAS,8964.50983100000,2770150.29480999988,277.01502948100,287837.41915700003,9205572.92368000001,
"49",PORTAL DO SOL,11272.76181500000,5365698.97434999980,536.56989743500,299853.36445900000,9209083.07091999985,
"03",ALTIPLANO CABO BRANCO,6446.51578819000,2170437.93930000020,217.04379393000,298085.15400699998,9210958.00789999962,"24"
"41",MIRAMAR,4916.63070234000,1334199.28786000004,133.41992878600,297309.32071100001,9212453.58420999907,
"31",JOÃO AGRIPINO,3206.38566659000,226527.87651599999,22.65278765160,296446.60014499997,9214074.99211000092,
"12",BRISAMAR,3908.42470835000,581749.95567099995,58.17499556710,296896.81944799999,9213203.81114999950,
"46",PEDRO GONDIM,3439.98690814000,771786.52941199997,77.17865294120,296156.02775200002,9213192.53910999931,
"07",BAIRRO DOS ESTADOS,6556.88571192000,1816176.18715999997,181.61761871600,295032.99034500000,9213237.36982999928,
"25",EXPEDICIONÁRIOS,2826.12268470000,399478.72814000002,39.94787281400,295343.76962799998,9212174.13368000090,
"04",ALTO DO CÉU,6977.76449449000,2523148.04463999998,252.31480446400,293821.77444800001,9215411.25954000093,
"09",BAIRRO DOS IPÊS,7240.30295644000,1832089.58122999989,183.20895812300,295497.09859800001,9214463.31130000018,
"51",SÃO JOSÉ,4876.53808751000,349806.00013200002,34.98060001320,296742.24999500002,9214059.78440999985,
"53",TAMBIÁ,5014.80960483000,802392.13284500001,80.23921328450,293249.20525399997,9212994.83933999948,
"50",RÓGER,5386.79899799000,1302708.11962000001,130.27081196200,292679.38958700001,9213649.52316999994,
"17",PADRE ZÉ,2902.12582753000,462617.60087700002,46.26176008770,293471.34853100003,9214228.02068999968,
"39",MANDACARÚ,6017.59421294000,1032434.86285999999,103.24348628600,294338.94680600002,9214254.76500000060,
"55",TREZE DE MAIO,3573.95392337000,782570.30489799997,78.25703048980,293965.86551500001,9213522.16733000055,
"60",VARADOURO,5282.97192514000,825302.22806100000,82.53022280610,291429.18541300000,9212963.45281999931,
"57",TRINCHEIRAS,4757.40625641000,915326.25817000004,91.53262581700,291708.11561699997,9211601.65954999998,
"28",ILHA DO BISPO,10988.66170510000,4814596.61868999992,481.45966186900,290366.05664299999,9210860.67214000039,
"05",ALTO DO MATEUS,7065.36623060000,2549409.81820000010,254.94098182000,288927.33206500002,9210631.41149999946,
"43",OITIZEIRO,8686.36475156000,3139716.26487000007,313.97162648700,290389.37945900002,9208481.99307999946,
"37",JARDIM VENEZA,8140.97720056000,2422139.39759000018,242.21393975900,289254.31826199999,9207756.63502999954,
"16",CIDADE DOS COLIBRIS,4864.84538519000,1084603.12604000000,108.46031260400,295918.46351899998,9207991.09767000005,
"06",ANATÓLIA,1838.32798302000,172811.61002500000,17.28116100250,296465.84654400003,9209272.94562000036,
"36",JARDIM SÃO PAULO,2901.20653649000,384278.38415100001,38.42783841510,295933.97862299997,9209354.96433000080,
"15",CENTRO,6591.69695442000,1887294.48548000003,188.72944854800,292532.78434499999,9212468.16173000075,
"58",VARJÃO,6422.30944928000,1538589.25003000000,153.85892500300,293147.72863099998,9209487.86019000039,
"29",JAGUARIBE,6887.94874864000,2364971.30347000016,236.49713034700,292793.26566500001,9211126.50826999918,
"19",CRISTO REDENTOR,10425.73535900000,4887661.66952000000,488.76616695200,292759.55538899999,9208130.30990999937,
"20",CRUZ DAS ARMAS,8769.67733883000,2494298.42132999981,249.42984213300,291513.23312200001,9209888.09465000033,
"42",MUÇUMAGRO,14973.79003900000,4381997.33659000043,438.19973365900,296809.65324499999,9201087.48822000064,
"34",JARDIM CIDADE UNIVERSITÁRIA,7966.09583004000,2424566.98882000009,242.45669888200,297380.76695600001,9208652.86762999929,
"10",BANCÁRIOS,7995.95309856000,2189757.11799999978,218.97571180000,297266.70290999999,9209734.38271999918,"54"
"01",ÁGUA FRIA,6987.54481549000,1577086.23965999996,157.70862396600,295092.35309900000,9208194.53710000031,
"40",MANGABEIRA,13530.91058790000,10442616.97609999962,1044.26169761000,297507.64751600003,9206432.27878000028,
"32",JOSÉ AMÉRICO,7385.67170541000,2557741.22197999991,255.77412219800,295271.71162199997,9206671.26386000030,
XX,GRAMAME,23402.21507990000,19521116.44370000064,1952.11164437000,293038.12691200001,9202862.26242000051,
"56",TORRE,6535.68582218000,2159971.26869999990,215.99712687000,294442.56869099999,9211918.41341999918,
"54",TAMBAUZINHO,5076.90322662000,1003577.45366000000,100.35774536600,296050.14648699999,9212200.04781999998,
"14",CASTELO BRANCO,8258.43463619000,3644186.05214999989,364.41860521500,296304.79530499998,9210985.23846000060,"31"
XX,BARRA DE GRAMAME,17600.37746360000,8745360.02260000072,874.53600226000,0.00000000000,0.00000000000,
XX,MUSSURÉ,19561.65482140000,14918239.23289999925,1491.82392329000,0.00000000000,0.00000000000,
XX,MUMBABA,19093.84652060000,13957520.13509999961,1395.75201351000,0.00000000000,0.00000000000,
